timestamp	session	ioa	asdu	value	quality	iv	cot
2026-03-26 17:56:42.986	cl2	277	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	285	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	293	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	301	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	309	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	317	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	325	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	333	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	341	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	349	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	357	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	365	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	373	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	381	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	389	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	397	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	405	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	413	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	421	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	429	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	437	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	445	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	453	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	461	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	469	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	477	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	485	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	493	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	501	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	509	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	517	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	525	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	533	36	0.0	0	0	20
2026-03-26 17:56:42.990	cl2	541	36	0.0	0	0	20
2026-03-26 17:56:42.990	cl2	549	36	0.0	0	0	20
2026-03-26 17:56:42.990	cl2	557	36	0.0	0	0	20
2026-03-26 17:56:42.990	cl2	565	36	0.0	0	0	20
2026-03-26 17:56:42.990	cl2	573	36	0.0	0	0	20
2026-03-26 17:56:42.990	cl2	581	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	589	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	597	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	605	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	613	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	621	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	629	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	637	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	645	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	653	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	661	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	669	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	677	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	685	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	693	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	701	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	709	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	717	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	725	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	733	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	741	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	749	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	757	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	765	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	773	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	781	36	0.0	0	0	20
2026-03-26 17:56:42.992	cl2	789	36	0.0	0	0	20
2026-03-26 17:56:42.993	cl2	797	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	11	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	19	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	27	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	35	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	43	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	51	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	59	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	67	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	75	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	83	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	91	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	99	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	107	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	115	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	123	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	131	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	139	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	147	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	163	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	171	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	179	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	187	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	195	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	203	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	211	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	219	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	227	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	235	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	243	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	251	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	259	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	267	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	275	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	283	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	291	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	299	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	307	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	315	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	323	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	331	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	339	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	347	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	355	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	363	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	371	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	379	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	387	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	395	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	403	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	411	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	419	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	427	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	435	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	443	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	451	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	459	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	467	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	475	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	483	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	491	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	499	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	507	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	515	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	523	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	531	30	0	0	0	20
2026-03-26 17:56:42.990	cl2	539	30	0	0	0	20
2026-03-26 17:56:42.990	cl2	547	30	0	0	0	20
2026-03-26 17:56:42.990	cl2	555	30	0	0	0	20
2026-03-26 17:56:42.990	cl2	563	30	0	0	0	20
2026-03-26 17:56:42.990	cl2	571	30	0	0	0	20
2026-03-26 17:56:42.990	cl2	579	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	587	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	595	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	603	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	611	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	619	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	627	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	635	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	643	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	651	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	659	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	667	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	675	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	683	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	691	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	699	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	707	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	715	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	723	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	731	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	739	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	747	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	755	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	763	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	771	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	779	30	0	0	0	20
2026-03-26 17:56:42.992	cl2	787	30	0	0	0	20
2026-03-26 17:56:42.993	cl2	795	30	0	0	0	20
2026-03-26 18:06:25.879	cl2	0	100	0	0	0	10
